,rgi_id
0,RGI2000-v7.0-G-03-00004
1,RGI2000-v7.0-G-03-00005
2,RGI2000-v7.0-G-03-00006
3,RGI2000-v7.0-G-03-00010
4,RGI2000-v7.0-G-03-00011
5,RGI2000-v7.0-G-03-00013
6,RGI2000-v7.0-G-03-00014
7,RGI2000-v7.0-G-03-00015
8,RGI2000-v7.0-G-03-00016
9,RGI2000-v7.0-G-03-00019
10,RGI2000-v7.0-G-03-00021
11,RGI2000-v7.0-G-03-00022
12,RGI2000-v7.0-G-03-00023
13,RGI2000-v7.0-G-03-00025
14,RGI2000-v7.0-G-03-00026
15,RGI2000-v7.0-G-03-00027
16,RGI2000-v7.0-G-03-00028
17,RGI2000-v7.0-G-03-00031
18,RGI2000-v7.0-G-03-00032
19,RGI2000-v7.0-G-03-00034
20,RGI2000-v7.0-G-03-00036
21,RGI2000-v7.0-G-03-00039
22,RGI2000-v7.0-G-03-00040
23,RGI2000-v7.0-G-03-00053
24,RGI2000-v7.0-G-03-00054
25,RGI2000-v7.0-G-03-00055
26,RGI2000-v7.0-G-03-00056
27,RGI2000-v7.0-G-03-00057
28,RGI2000-v7.0-G-03-00058
29,RGI2000-v7.0-G-03-00060
30,RGI2000-v7.0-G-03-00061
31,RGI2000-v7.0-G-03-00062
32,RGI2000-v7.0-G-03-00063
33,RGI2000-v7.0-G-03-00064
34,RGI2000-v7.0-G-03-00066
35,RGI2000-v7.0-G-03-00067
36,RGI2000-v7.0-G-03-00068
37,RGI2000-v7.0-G-03-00069
38,RGI2000-v7.0-G-03-00070
39,RGI2000-v7.0-G-03-00071
40,RGI2000-v7.0-G-03-00073
41,RGI2000-v7.0-G-03-00078
42,RGI2000-v7.0-G-03-00081
43,RGI2000-v7.0-G-03-00083
44,RGI2000-v7.0-G-03-00084
45,RGI2000-v7.0-G-03-00085
46,RGI2000-v7.0-G-03-00087
47,RGI2000-v7.0-G-03-00089
48,RGI2000-v7.0-G-03-00092
49,RGI2000-v7.0-G-03-00093
